,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population
166,166.0,Trinidad and Tobago,116,0.0,8.0,0.0,108.0,0.0,0.0,83.0,6.0,2930.0,2094.0,1399048.0
167,167.0,Aruba,101,0.0,3.0,0.0,95.0,3.0,3.0,946.0,28.0,2070.0,19396.0,106722.0
168,168.0,Bahamas,100,0.0,11.0,0.0,45.0,44.0,1.0,255.0,28.0,1955.0,4976.0,392867.0
169,169.0,Monaco,98,0.0,4.0,0.0,90.0,4.0,2.0,2499.0,102.0,0.0,0.0,39214.0
170,170.0,Barbados,92,0.0,7.0,0.0,70.0,15.0,4.0,320.0,24.0,4664.0,16232.0,287341.0
171,171.0,Comoros,87,9.0,1.0,0.0,21.0,65.0,0.0,100.0,1.0,0.0,0.0,867624.0
172,172.0,Syria,86,16.0,4.0,0.0,41.0,41.0,0.0,5.0,0.2,0.0,0.0,17454561.0
173,173.0,Malawi,83,1.0,4.0,1.0,33.0,46.0,1.0,4.0,0.2,2411.0,126.0,19075919.0
174,174.0,Liechtenstein,82,0.0,1.0,0.0,55.0,26.0,0.0,2151.0,26.0,900.0,23612.0,38117.0
175,175.0,Sint Maarten,77,0.0,15.0,0.0,59.0,3.0,1.0,1798.0,350.0,438.0,10227.0,42827.0
176,176.0,Libya,75,0.0,3.0,0.0,39.0,33.0,0.0,11.0,0.4,4351.0,634.0,6861713.0
177,177.0,Angola,69,8.0,4.0,0.0,18.0,47.0,0.0,2.0,0.1,10000.0,305.0,32751429.0
178,178.0,French Polynesia,60,0.0,0.0,0.0,60.0,0.0,0.0,214.0,0.0,3873.0,13795.0,280748.0
179,179.0,Zimbabwe,56,0.0,4.0,0.0,25.0,27.0,0.0,4.0,0.3,37039.0,2496.0,14840631.0
180,180.0,Macao,45,0.0,0.0,0.0,45.0,0.0,0.0,69.0,0.0,0.0,0.0,648427.0
